utility_name,n_zips
Entergy Texas Inc.,242
Southwestern Public Service Co,159
"TXU Energy Retail Co, LLC",154
El Paso Electric Co,148
Southwestern Electric Power Co,147
Heart of Texas Electric Coop,132
City of San Antonio - (TX),117
Reliant Energy Retail Services,102
"Bartlett Electric Coop, Inc",97
"Pedernales Electric Coop, Inc",86
Mid-South Electric Coop Assn,82
Austin Energy,82
"Grayson-Collin Elec Coop, Inc",69
"Denton County Elec Coop, Inc",59
"Bluebonnet Electric Coop, Inc",59
"Medina Electric Coop, Inc",54
South Plains Electric Coop Inc,52
"Rio Grande Electric Coop, Inc",44
Guadalupe Valley Elec Coop Inc,42
Karnes Electric Coop Inc,40
